,source_tri_points,target_tri_points
45,"[[152.10903226, 38.36451613], [83.0716129, 256.37741935], [313.80193548, 349.94129032], [379.20580645, 129.20322581]]","[[132.70258065, 46.54], [103.63419355, 275.45354839], [336.18129032, 329.0483871], [372.51677419, 103.7683871]]"
46,"[[143.93354839, 39.08967742], [97.60580645, 261.64451613], [325.61096774, 337.04064516], [375.57225806, 109.03548387]]","[[131.79419355, 49.08193548], [98.18387097, 273.45354839], [337.08967742, 328.86516129], [370.7, 102.67677419]]"
47,"[[143.93354839, 39.95612903], [97.60580645, 265.23612903], [325.61096774, 341.54064516], [376.48064516, 113.53548387]]","[[148.14516129, 39.95612903], [81.83290323, 258.87741935], [314.38, 353.34967742], [379.78387097, 131.70322581]]"
48,"[[117.06714201, 130.84640523], [140.49197861, 442.0620915], [359.68152109, 358.40196078], [222.47890671, 85.66993464]]","[[174.48841355, 104.91176471], [74.09625668, 408.59803922], [300.81521093, 417.80065359], [297.4688057, 104.0751634]]"
49,"[[131.60635769, 143.39542484], [133.27956031, 451.26470588], [343.26648841, 407.76143791], [249.56714201, 108.25816993]]","[[178.15181224, 102.40196078], [91.9818776, 397.72222222], [302.80540701, 417.80065359], [301.9688057, 104.91176471]]"
50,"[[126.27956031, 145.06862745], [159.7436126, 448.75490196], [365.54753417, 382.66339869], [203.24688057, 81.4869281]]","[[171.98841355, 104.91176471], [84.14527629, 398.55882353], [300.82501485, 418.6372549], [271.5439691, 73.95751634]]"
51,"[[157.70483871, 122.95], [140.6016129, 459.88354839], [360.37806452, 413.70483871], [262.03451613, 101.57096774]]","[[140.29064516, 103.28129032], [167.65580645, 433.37354839], [380.59096774, 363.25032258], [240.34451613, 73.35064516]]"
52,"[[153.00178253, 121.64379085], [173.0802139, 456.28431373], [406.49197861, 284.78104575], [223.27629234, 72.28431373]]","[[135.12893642, 103.23856209], [166.08318479, 432.85947712], [394.47534165, 262.19281046], [206.24004753, 56.38888889]]"
53,"[[144.51903226, 153.73225806], [203.03548387, 468.36419355], [409.96322581, 285.18225806], [221.69290323, 72.31806452]]","[[139.97032258, 152.88419355], [162.02, 471.75645161], [391.84548387, 314.86451613], [229.01709677, 76.5583871]]"
54,"[[133.21387097, 139.44645161], [167.69354839, 423.69354839], [388.86806452, 261.38677419], [203.01419355, 64.60032258]]","[[128.70322581, 159.62967742], [164.86483871, 447.24064516], [389.40322581, 277.36516129], [200.18548387, 70.48709677]]"
55,"[[144.14645161, 157.94774194], [139.9416129, 450.60451613], [383.82225806, 311.84483871], [227.40225806, 81.41967742]]","[[130.38516129, 158.78870968], [164.86483871, 447.24064516], [389.40322581, 277.36516129], [200.18548387, 70.48709677]]"
56,"[[146.66935484, 157.94774194], [176.94419355, 448.92258065], [401.48258065, 282.41096774], [219.83354839, 80.57870968]]","[[130.38516129, 158.78870968], [164.86483871, 447.24064516], [389.40322581, 277.36516129], [200.18548387, 70.48709677]]"
57,"[[84.14230541, 150.9248366], [111.75014854, 411.94444444], [253.97237077, 121.64379085], [296.63903743, 413.61764706]]","[[43.681224, 174.3496732], [152.43939394, 464.6503268], [191.75965538, 96.54575163], [319.75965538, 392.70261438]]"
58,"[[59.74688057, 192.75490196], [95.72073678, 445.40849673], [284.7926322, 431.18627451], [214.5181224, 140.88562092]]","[[36.01782531, 172.67647059], [143.93939394, 464.6503268], [311.25965538, 391.02941176], [182.42305407, 98.21895425]]"
59,"[[42.52465835, 219.52614379], [137.89720737, 458.79411765], [314.42008318, 418.6372549], [190.60308972, 109.09477124]]","[[32.181224, 170.16666667], [141.77599525, 463.81372549], [306.58645276, 396.88562092], [165.20083185, 87.34313725]]"
60,"[[74.86125966, 186.89869281], [112.50831848, 462.97712418], [319.98544266, 450.42810458], [275.64557338, 106.58496732]]","[[91.28906714, 140.88562092], [120.57011289, 426.16666667], [319.681224, 432.02287582], [316.33481878, 99.89215686]]"
61,"[[62.31224005, 217.01633987], [162.70439691, 479.70915033], [355.95929887, 437.87908497], [253.89393939, 95.70915033]]","[[91.28906714, 140.88562092], [120.57011289, 426.16666667], [319.681224, 432.02287582], [316.33481878, 99.89215686]]"
62,"[[53.62923351, 215.34313725], [155.69459299, 482.21895425], [350.62269756, 442.89869281], [247.72073678, 94.03594771]]","[[67.54723708, 186.0620915], [107.70409982, 465.4869281], [321.87403446, 452.9379085], [271.67795603, 105.74836601]]"
63,"[[86.63250149, 150.08823529], [114.24034462, 414.45424837], [299.96583482, 416.12745098], [294.10962567, 110.76797386]]","[[36.1322044, 238.76797386], [197.59625668, 450.42810458], [352.36749851, 358.40196078], [190.90344623, 85.66993464]]"
64,"[[71.57367796, 194.42810458], [107.54753417, 448.75490196], [318.37106358, 424.49346405], [257.29916815, 115.7875817]]","[[36.9688057, 237.93137255], [199.2694593, 449.59150327], [352.36749851, 358.40196078], [190.90344623, 85.66993464]]"
65,"[[59.02465835, 220.3627451], [151.88740345, 462.97712418], [331.75668449, 421.98366013], [237.22073678, 108.25816993]]","[[36.9688057, 237.93137255], [199.2694593, 449.59150327], [352.36749851, 358.40196078], [190.90344623, 85.66993464]]"
66,"[[172.97890671, 98.21895425], [61.71093286, 322.42810458], [264.1684492, 469.66993464], [268.35145573, 334.97712418]]","[[183.55050505, 77.30392157], [72.28253119, 308.20588235], [269.72043969, 462.97712418], [278.92305407, 330.79411765]]"
67,"[[305.00831848, 130.00980392], [79.96256684, 221.19934641], [126.81224005, 471.34313725], [221.34818776, 374.29738562]]","[[181.72370766, 76.46732026], [67.94592989, 309.87908497], [264.54723708, 463.81372549], [276.25965538, 329.95751634]]"
68,"[[197.27629234, 90.68954248], [117.79916815, 321.59150327], [351.21093286, 429.5130719], [326.94949495, 301.5130719]]","[[217.88710636, 78.14052288], [104.10932858, 308.20588235], [303.22043969, 462.97712418], [312.42305407, 329.12091503]]"
69,"[[177.16191325, 42.16666667], [60.87433155, 267.2124183], [259.98544266, 426.16666667], [267.51485443, 289.80065359]]","[[186.89691028, 78.97712418], [70.60932858, 308.20588235], [268.88383838, 462.14052288], [277.24985146, 329.95751634]]"
70,"[[309.84491979, 129.17320261], [83.96256684, 222.87254902], [130.81224005, 473.85294118], [225.34818776, 373.46078431]]","[[173.17468806, 98.21895425], [60.23351159, 319.91830065], [265.20083185, 471.34313725], [267.71063577, 337.4869281]]"
71,"[[216.10308972, 75.63071895], [131.60635769, 329.12091503], [382.58674985, 446.24509804], [359.16191325, 306.53267974]]","[[227.51128936, 80.6503268], [103.6942959, 327.44771242], [327.06684492, 489.74836601], [332.92305407, 344.17973856]]"
72,"[[194.99851456, 22.08823529], [66.16191325, 268.04901961], [284.51485443, 442.89869281], [295.39067142, 294.82026144]]","[[189.67468806, 84.83333333], [66.6942959, 327.44771242], [290.06684492, 488.91176471], [295.92305407, 345.01633987]]"
73,"[[196.93969103, 93.19934641], [119.13576946, 322.42810458], [348.36452763, 429.5130719], [327.44949495, 300.67647059]]","[[341.36749851, 130.84640523], [114.64854427, 222.87254902], [164.8446227, 473.85294118], [259.38057041, 375.13398693]]"
74,"[[176.82531194, 40.49346405], [61.37433155, 267.2124183], [259.64884135, 428.67647059], [269.68805704, 291.47385621]]","[[307.86749851, 130.84640523], [81.14854427, 223.70915033], [131.3446227, 473.85294118], [225.0439691, 373.46078431]]"
75,"[[189.14230541, 83.16013072], [66.99851456, 329.12091503], [290.37106358, 490.58496732], [295.39067142, 344.17973856]]","[[203.06030897, 88.17973856], [75.89691028, 319.08169935], [309.30867499, 471.34313725], [305.12566845, 327.44771242]]"
76,"[[304.67171717, 130.84640523], [77.11616162, 222.87254902], [127.31224005, 473.01633987], [222.68478907, 375.13398693]]","[[183.06030897, 102.40196078], [66.77272727, 314.89869281], [281.77926322, 452.9379085], [277.59625668, 322.42810458]]"
77,"[[217.26648841, 73.95751634], [131.09655377, 329.95751634], [387.93315508, 447.08169935], [362.83511586, 305.69607843]]","[[242.06030897, 87.34313725], [112.38710636, 321.59150327], [350.81847891, 473.01633987], [346.63547237, 329.12091503]]"
78,"[[204.67171717, 12.88562092], [69.97890671, 269.72222222], [298.37106358, 451.26470588], [307.57367796, 297.33006536]]","[[211.06030897, 79.81372549], [78.04070113, 322.42810458], [321.49168152, 478.87254902], [317.30867499, 330.79411765]]"
79,"[[234.83511586, 18.74183007], [105.16191325, 270.55882353], [324.35145573, 445.40849673], [333.55407011, 294.82026144]]","[[219.47207368, 76.46732026], [131.62893642, 330.79411765], [388.46553773, 447.91830065], [362.53089721, 305.69607843]]"
80,"[[125.76580645, 101.48258065], [352.86258065, 218.66451613], [193.89483871, 385.80774194], [353.77096774, 350.38064516]]","[[413.39419355, 128.73419355], [280.76967742, 349.47225806], [131.79419355, 184.14580645], [151.77870968, 341.29677419]]"
81,"[[123.54629032, 110.03564516], [358.25258065, 206.41693548], [210.11096774, 379.54629032], [363.60709677, 334.92532258]]","[[405.22629032, 131.45370968], [271.3633871, 351.88129032], [128.57629032, 186.78370968], [151.77919355, 341.17225806]]"
82,"[[123.31741935, 106.24064516], [343.81419355, 208.0083871], [197.09903226, 372.53290323], [345.51032258, 334.37]]","[[385.90903226, 138.46709677], [261.24354839, 344.54677419], [125.55322581, 186.80677419], [142.51451613, 336.06612903]]"
83,"[[123.95612903, 102.12096774], [343.06903226, 217.81258065], [189.69, 380.83258065], [336.93387097, 342.26870968]]","[[398.84322581, 132.79677419], [270.00483871, 345.77451613], [125.39032258, 185.38387097], [144.67225806, 337.88645161]]"
84,"[[55.65210933, 109.09477124], [291.57367796, 206.97712418], [138.47563874, 381.82679739], [296.5932858, 334.14052288]]","[[55.34789067, 104.91176471], [281.23024361, 220.3627451], [120.60279263, 385.17320261], [278.72043969, 349.19934641]]"
85,"[[64.20112894, 103.23856209], [289.24688057, 206.14052288], [137.82204397, 372.62418301], [288.41027926, 331.63071895]]","[[58.87730244, 112.44117647], [272.21063577, 222.03594771], [119.94919786, 377.64379085], [271.37403446, 345.01633987]]"
86,"[[47.83511586, 98.21895425], [267.86125966, 217.01633987], [116.43642305, 380.15359477], [263.67825312, 339.99673203]]","[[46.6942959, 108.25816993], [272.57664884, 222.87254902], [111.11259655, 380.99019608], [265.88383838, 347.52614379]]"
87,"[[64.20112894, 104.91176471], [285.90047534, 206.97712418], [139.49524658, 372.62418301], [287.57367796, 333.30392157]]","[[60.55050505, 116.62418301], [279.74004753, 206.97712418], [140.02762923, 375.97058824], [287.2694593, 330.79411765]]"
88,"[[58.00831848, 100.72875817], [276.36125966, 217.01633987], [122.42661913, 378.48039216], [273.85145573, 340.83333333]]","[[55.1942959, 112.44117647], [282.74985146, 206.97712418], [138.85442662, 379.31699346], [288.60606061, 331.63071895]]"
89,"[[51.14230541, 102.40196078], [278.69786096, 217.01633987], [118.07040998, 386.84640523], [278.69786096, 349.19934641]]","[[49.16488414, 112.44117647], [289.2694593, 208.6503268], [142.86423054, 386.00980392], [301.81847891, 332.46732026]]"
90,"[[55.65210933, 108.25816993], [294.08348188, 206.14052288], [144.33184789, 379.31699346], [295.75668449, 334.97712418]]","[[52.83808675, 113.27777778], [290.43285799, 207.81372549], [144.02762923, 386.00980392], [302.14527629, 333.30392157]]"
91,"[[63.36452763, 104.91176471], [285.90047534, 206.97712418], [136.98544266, 370.95098039], [287.57367796, 334.14052288]]","[[58.04070113, 120.80718954], [278.06684492, 211.16013072], [144.21063577, 380.15359477], [291.45246583, 329.12091503]]"
92,"[[51.67171717, 98.21895425], [267.51485443, 216.17973856], [110.23380867, 381.82679739], [266.67825312, 340.83333333]]","[[48.02109329, 117.46078431], [278.92305407, 211.16013072], [136.70083185, 380.99019608], [291.47207368, 330.79411765]]"
93,"[[58.34491979, 105.74836601], [270.84165181, 217.85294118], [115.23380867, 376.80718954], [266.65864528, 338.32352941]]","[[63.89691028, 105.74836601], [286.43285799, 208.6503268], [131.66161616, 374.29738562], [288.10606061, 332.46732026]]"
94,"[[48.48871064, 109.09477124], [273.53446227, 221.19934641], [112.07040998, 384.33660131], [269.35145573, 346.68954248]]","[[52.36749851, 103.23856209], [276.57664884, 211.99673203], [124.31521093, 377.64379085], [279.92305407, 337.4869281]]"
95,"[[54.82531194, 110.76797386], [285.72727273, 206.97712418], [136.81224005, 380.15359477], [294.0932858, 332.46732026]]","[[56.1942959, 103.23856209], [281.24004753, 210.32352941], [129.81521093, 377.64379085], [285.42305407, 334.14052288]]"
96,"[[64.20112894, 104.91176471], [284.22727273, 206.14052288], [136.98544266, 375.97058824], [287.57367796, 332.46732026]]","[[61.38710636, 109.93137255], [278.06684492, 211.99673203], [128.31521093, 375.13398693], [281.41325015, 334.97712418]]"
97,"[[51.67171717, 98.21895425], [270.02465835, 216.17973856], [108.56060606, 375.97058824], [265.00505051, 340.83333333]]","[[52.20409982, 103.23856209], [273.06684492, 208.6503268], [125.82501485, 380.15359477], [280.59625668, 336.6503268]]"
98,"[[56.13903743, 197.7745098], [163.22400475, 428.67647059], [343.0932858, 200.28431373], [176.60962567, 95.70915033]]","[[103.52109329, 134.19281046], [98.50148544, 380.15359477], [359.52109329, 261.35620915], [254.10932858, 96.54575163]]"
99,"[[62.46910279, 161.80065359], [122.70439691, 413.61764706], [343.56714201, 219.52614379], [197.16191325, 84.83333333]]","[[68.85769459, 135.86601307], [61.32828283, 380.99019608], [323.18449198, 260.51960784], [217.77272727, 96.54575163]]"
100,"[[96.76975639, 137.53921569], [97.60635769, 398.55882353], [315.95929887, 255.5], [247.35799168, 97.38235294]]","[[68.85769459, 135.02941176], [60.49168152, 380.15359477], [285.53743316, 251.31699346], [217.77272727, 97.38235294]]"
101,"[[47.27629234, 150.08823529], [69.86452763, 380.99019608], [260.60962567, 230.40196078], [181.13250149, 95.70915033]]","[[68.72370766, 145.06862745], [62.03089721, 372.62418301], [271.181224, 250.48039216], [207.59952466, 108.25816993]]"
102,"[[98.63250149, 162.6372549], [160.54099822, 416.12745098], [340.41027926, 221.19934641], [234.99851456, 83.16013072]]","[[58.17142008, 198.61111111], [166.92959002, 431.18627451], [309.15181224, 210.32352941], [178.64200832, 94.87254902]]"
103,"[[134.09655377, 135.86601307], [134.93315508, 401.90522876], [354.12269756, 254.66339869], [287.19459299, 95.70915033]]","[[56.82501485, 196.9379085], [168.09298871, 435.36928105], [309.47860963, 209.4869281], [178.9688057, 92.3627451]]"
104,"[[74.43969103, 150.08823529], [97.02792632, 380.99019608], [288.60962567, 229.56535948], [208.29590018, 95.70915033]]","[[54.057041, 201.12091503], [152.77599525, 416.96405229], [284.12240048, 210.32352941], [164.48841355, 105.74836601]]"
105,"[[64.26975639, 135.86601307], [64.26975639, 399.39542484], [283.45929887, 253.82679739], [211.51158645, 94.87254902]]","[[28.82828283, 161.80065359], [89.06357695, 415.29084967], [268.93285799, 220.3627451], [164.35769459, 83.99673203]]"
106,"[[48.94949495, 150.9248366], [70.70112894, 380.99019608], [261.44622698, 229.56535948], [182.8057041, 94.87254902]]","[[62.03089721, 167.65686275], [118.9197861, 403.57843137], [285.40344623, 222.03594771], [188.35769459, 95.70915033]]"
107,"[[53.68805704, 201.12091503], [154.0802139, 418.6372549], [286.26322044, 211.16013072], [165.7926322, 105.74836601]]","[[96.05050505, 159.29084967], [155.44919786, 392.70261438], [323.60606061, 211.16013072], [224.05050505, 83.99673203]]"
108,"[[29.99851456, 168.49346405], [87.72400475, 404.41503268], [255.8808675, 221.19934641], [156.32531194, 95.70915033]]","[[34.71390374, 158.45424837], [94.11259655, 391.86601307], [260.59625668, 210.32352941], [162.71390374, 83.99673203]]"
109,"[[64.29916815, 147.57843137], [64.29916815, 390.19281046], [268.42988711, 254.66339869], [204.01158645, 108.25816993]]","[[33.04070113, 157.61764706], [94.11259655, 393.53921569], [262.2694593, 211.16013072], [163.55050505, 83.16013072]]"
110,"[[47.27629234, 150.08823529], [69.86452763, 381.82679739], [261.44622698, 227.89215686], [180.29590018, 94.03594771]]","[[65.37730244, 158.45424837], [125.61259655, 391.02941176], [291.25965538, 211.16013072], [193.37730244, 84.83333333]]"
111,"[[47.27629234, 150.08823529], [69.86452763, 381.82679739], [261.44622698, 227.89215686], [180.29590018, 94.03594771]]","[[96.3315508, 145.90522876], [94.65834819, 388.51960784], [297.95246583, 253.82679739], [234.37076649, 109.09477124]]"
112,"[[63.08709677, 187.77935484], [182.99419355, 448.48645161], [339.23677419, 202.31354839], [195.7116129, 76.04774194]]","[[76.38258065, 166.88645161], [124.52709677, 436.67741935], [341.6316129, 241.37419355], [236.25870968, 91.49032258]]"
113,"[[70.29590018, 160.12745098], [131.3677956, 415.29084967], [312.91027926, 219.52614379], [208.33511586, 83.16013072]]","[[41.54723708, 176.02287582], [85.88710636, 420.31045752], [281.65181224, 244.62418301], [187.95246583, 107.42156863]]"
