,source_tri_points,target_tri_points
22,"[[103.05612903, 20.31032258], [55.82, 215.15935484], [180.26903226, 220.15548387], [183.90258065, 85.71419355]]","[[93.80709677, 19.85612903], [72.91419355, 206.07548387], [190.55032258, 211.98], [176.92451613, 68.90903226]]"
23,"[[58.09096774, 21.21870968], [80.80064516, 218.79290323], [206.15806452, 196.9916129], [166.64322581, 54.37483871]]","[[92.89870968, 19.40193548], [50.65870968, 221.51806452], [186.46258065, 219.24709677], [180.10387097, 78.44709677]]"
24,"[[93.51806452, 20.31032258], [73.98774194, 206.98387097], [191.16967742, 210.61741935], [177.54387097, 69.36322581]]","[[92.89870968, 19.40193548], [50.65870968, 221.51806452], [186.46258065, 219.24709677], [180.10387097, 78.44709677]]"
25,"[[119.86129032, 20.31032258], [51.73225806, 198.35419355], [166.64322581, 221.51806452], [189.35290323, 92.07290323]]","[[92.89870968, 19.40193548], [50.65870968, 221.51806452], [186.46258065, 219.24709677], [180.10387097, 78.44709677]]"
26,"[[103.05612903, 20.31032258], [56.7283871, 215.15935484], [180.26903226, 219.70129032], [183.90258065, 86.1683871]]","[[92.89870968, 19.40193548], [50.65870968, 221.51806452], [186.46258065, 219.24709677], [180.10387097, 78.44709677]]"
27,"[[103.05612903, 20.31032258], [56.7283871, 215.15935484], [180.26903226, 219.70129032], [183.90258065, 86.1683871]]","[[119.24193548, 19.85612903], [51.11290323, 199.26258065], [167.38645161, 221.06387097], [189.18774194, 91.61870968]]"
28,"[[47.64451613, 107.51548387], [149.83806452, 200.62516129], [212.06258065, 162.01870968], [113.50258065, 52.55806452]]","[[38.39548387, 112.05741935], [143.31419355, 199.71677419], [217.34774194, 171.10258065], [106.52451613, 51.64967742]]"
29,"[[44.01096774, 106.60709677], [145.29612903, 221.97225806], [219.78387097, 192.90387097], [125.3116129, 51.19548387]]","[[38.39548387, 112.05741935], [143.31419355, 199.71677419], [217.34774194, 171.10258065], [106.52451613, 51.64967742]]"
30,"[[44.01096774, 106.60709677], [145.29612903, 221.97225806], [219.78387097, 192.90387097], [125.3116129, 51.19548387]]","[[46.57096774, 108.42387097], [146.49354839, 200.17096774], [214.62258065, 162.92709677], [112.42903226, 51.19548387]]"
31,"[[92.15548387, 21.21870968], [160.28451613, 63.45870968], [175.72709677, 152.48064516], [69.44580645, 203.80451613]]","[[72.91419355, 42.1116129], [141.9516129, 65.27548387], [172.83677419, 146.12193548], [86.54, 210.16322581]]"
32,"[[82.61741935, 41.65741935], [153.01741935, 76.63032258], [179.81483871, 165.65225806], [78.52967742, 224.24322581]]","[[72.91419355, 42.1116129], [141.9516129, 65.27548387], [172.83677419, 146.12193548], [86.54, 210.16322581]]"
33,"[[82.61741935, 41.65741935], [153.01741935, 76.63032258], [179.81483871, 165.65225806], [78.52967742, 224.24322581]]","[[91.99032258, 21.21870968], [159.66516129, 63.45870968], [176.92451613, 153.38903226], [69.73483871, 203.80451613]]"
34,"[[114.86516129, 40.29483871], [200.25354839, 60.73354839], [39.01483871, 139.76322581], [173.00193548, 183.36580645]]","[[117.87935484, 38.93225806], [202.35935484, 64.82129032], [36.57870968, 132.95032258], [165.11548387, 187.90774194]]"
35,"[[113.50258065, 37.11548387], [198.89096774, 58.0083871], [39.01483871, 136.58387097], [173.00193548, 183.82]]","[[117.87935484, 38.93225806], [202.35935484, 64.82129032], [36.57870968, 132.95032258], [165.11548387, 187.90774194]]"
36,"[[123.04064516, 41.65741935], [205.24967742, 78.44709677], [32.65612903, 126.13741935], [157.10516129, 194.72064516]]","[[117.87935484, 38.93225806], [202.35935484, 64.82129032], [36.57870968, 132.95032258], [165.11548387, 187.90774194]]"
37,"[[121.22387097, 37.11548387], [205.70387097, 66.63806452], [36.74387097, 128.86258065], [162.55548387, 189.27032258]]","[[117.87935484, 38.93225806], [202.35935484, 64.82129032], [36.57870968, 132.95032258], [165.11548387, 187.90774194]]"
38,"[[114.41096774, 38.02387097], [197.5283871, 57.1], [39.01483871, 137.49225806], [173.00193548, 183.36580645]]","[[113.33741935, 38.93225806], [198.2716129, 60.27935484], [39.75806452, 139.30903226], [173.74516129, 182.9116129]]"
39,"[[123.94903226, 40.74903226], [205.24967742, 77.99290323], [31.74774194, 126.13741935], [157.55935484, 195.17483871]]","[[113.33741935, 38.93225806], [198.2716129, 60.27935484], [39.75806452, 139.30903226], [173.74516129, 182.9116129]]"
40,"[[121.67806452, 38.02387097], [206.15806452, 67.54645161], [36.74387097, 128.4083871], [162.55548387, 190.63290323]]","[[113.33741935, 38.93225806], [198.2716129, 60.27935484], [39.75806452, 139.30903226], [173.74516129, 182.9116129]]"
41,"[[124.40322581, 40.29483871], [205.70387097, 78.44709677], [33.11032258, 127.04580645], [157.10516129, 194.72064516]]","[[113.33741935, 38.47806452], [198.2716129, 58.0083871], [38.84967742, 136.58387097], [171.9283871, 183.36580645]]"
42,"[[120.76967742, 38.02387097], [206.15806452, 67.54645161], [37.19806452, 130.22516129], [163.91806452, 190.17870968]]","[[113.33741935, 38.47806452], [198.2716129, 58.0083871], [38.84967742, 136.58387097], [171.9283871, 183.36580645]]"
43,"[[111.2316129, 40.29483871], [198.89096774, 58.91677419], [39.92322581, 138.85483871], [173.00193548, 183.36580645]]","[[113.7916129, 40.74903226], [201.45096774, 64.36709677], [36.57870968, 136.58387097], [169.20322581, 183.82]]"
44,"[[111.2316129, 37.56967742], [199.34516129, 58.0083871], [38.56064516, 137.03806452], [173.45612903, 183.36580645]]","[[113.7916129, 40.74903226], [201.45096774, 64.36709677], [36.57870968, 136.58387097], [169.20322581, 183.82]]"
45,"[[123.04064516, 41.65741935], [206.15806452, 77.99290323], [32.65612903, 126.5916129], [157.10516129, 194.72064516]]","[[113.7916129, 40.74903226], [201.45096774, 64.36709677], [36.57870968, 136.58387097], [169.20322581, 183.82]]"
46,"[[121.67806452, 37.56967742], [205.24967742, 66.63806452], [36.28967742, 128.4083871], [163.46387097, 189.72451613]]","[[113.7916129, 40.74903226], [201.45096774, 64.36709677], [36.57870968, 136.58387097], [169.20322581, 183.82]]"
47,"[[121.67806452, 37.56967742], [205.24967742, 66.63806452], [36.28967742, 128.4083871], [163.46387097, 189.72451613]]","[[123.78387097, 41.65741935], [205.99290323, 77.99290323], [32.03677419, 126.13741935], [157.39419355, 195.62903226]]"
48,"[[127.58258065, 31.21096774], [64.90387097, 153.38903226], [217.96709677, 184.27419355], [67.17483871, 57.1]]","[[163.75290323, 52.10387097], [65.64709677, 130.22516129], [179.19548387, 209.70903226], [101.07419355, 50.28709677]]"
49,"[[137.57483871, 50.74129032], [63.54129032, 153.84322581], [202.07032258, 206.52967742], [75.35032258, 67.54645161]]","[[163.75290323, 52.10387097], [65.64709677, 130.22516129], [179.19548387, 209.70903226], [101.07419355, 50.28709677]]"
50,"[[132.12451613, 50.74129032], [76.25870968, 158.38516129], [219.32967742, 189.72451613], [77.62129032, 68.00064516]]","[[163.75290323, 52.10387097], [65.64709677, 130.22516129], [179.19548387, 209.70903226], [101.07419355, 50.28709677]]"
51,"[[138.02903226, 49.37870968], [77.62129032, 68.00064516], [63.08709677, 159.29354839], [202.97870968, 205.16709677]]","[[126.96322581, 31.21096774], [67.46387097, 58.0083871], [65.64709677, 152.02645161], [218.25612903, 182.45741935]]"
52,"[[131.67032258, 48.47032258], [78.98387097, 68.90903226], [76.25870968, 155.66], [217.05870968, 191.54129032]]","[[126.96322581, 31.21096774], [67.46387097, 58.0083871], [65.64709677, 152.02645161], [218.25612903, 182.45741935]]"
53,"[[131.67032258, 48.47032258], [78.98387097, 68.90903226], [76.25870968, 155.66], [217.05870968, 191.54129032]]","[[139.22645161, 50.74129032], [75.63935484, 67.09225806], [64.28451613, 153.84322581], [201.90516129, 206.52967742]]"
54,"[[127.1283871, 32.11935484], [67.62903226, 58.46258065], [65.35806452, 151.11806452], [218.87548387, 182.45741935]]","[[125.60064516, 46.65354839], [70.18903226, 71.63419355], [70.64322581, 155.20580645], [207.80967742, 185.63677419]]"
55,"[[138.48322581, 51.19548387], [75.80451613, 67.09225806], [63.99548387, 157.47677419], [203.43290323, 205.16709677]]","[[125.60064516, 46.65354839], [70.18903226, 71.63419355], [70.64322581, 155.20580645], [207.80967742, 185.63677419]]"
56,"[[131.67032258, 49.37870968], [77.62129032, 67.54645161], [75.80451613, 156.5683871], [219.78387097, 191.54129032]]","[[125.60064516, 46.65354839], [70.18903226, 71.63419355], [70.64322581, 155.20580645], [207.80967742, 185.63677419]]"
57,"[[152.56322581, 45.29096774], [55.36580645, 71.18], [44.46516129, 168.8316129], [165.28064516, 228.78516129]]","[[108.34129032, 43.47419355], [42.02903226, 86.1683871], [61.10516129, 177.46129032], [181.46645161, 204.25870968]]"
58,"[[132.12451613, 48.92451613], [41.28580645, 91.16451613], [34.01870968, 192.90387097], [168.91419355, 246.95290323]]","[[108.34129032, 43.47419355], [42.02903226, 86.1683871], [61.10516129, 177.46129032], [181.46645161, 204.25870968]]"
59,"[[37.95898618, 107.06718894], [66.27235023, 230.70221198], [188.49170507, 222.20820276], [171.97557604, 84.4164977]]","[[40.79032258, 86.3040553], [70.99124424, 213.24230415], [180.46958525, 195.78239631], [151.2124424, 71.20359447]]"
60,"[[132.12451613, 47.56193548], [41.28580645, 90.25612903], [34.01870968, 193.35806452], [168.91419355, 246.49870968]]","[[151.48967742, 45.29096774], [56.10903226, 70.2716129], [45.2083871, 170.19419355], [164.66129032, 229.23935484]]"
61,"[[120.31548387, 44.83677419], [39.01483871, 106.15290323], [54.45741935, 203.35032258], [186.17354839, 236.50645161]]","[[151.48967742, 45.29096774], [56.10903226, 70.2716129], [45.2083871, 170.19419355], [164.66129032, 229.23935484]]"
62,"[[120.31548387, 44.83677419], [39.01483871, 106.15290323], [54.45741935, 203.35032258], [186.17354839, 236.50645161]]","[[131.95935484, 48.01612903], [41.12064516, 89.34774194], [34.76193548, 193.81225806], [168.74903226, 245.59032258]]"
63,"[[55.41889401, 69.78792627], [70.51935484, 214.18608295], [169.61612903, 215.12986175], [185.18847926, 86.3040553]]","[[37.01520737, 118.39253456], [116.76451613, 224.56764977], [194.15437788, 179.26626728], [146.49354839, 66.95658986]]"
64,"[[131.67032258, 48.01612903], [41.74, 89.80193548], [34.01870968, 194.26645161], [168.91419355, 246.04451613]]","[[98.34903226, 47.10774194], [36.12451613, 117.50774194], [72.46, 180.64064516], [196.45483871, 194.72064516]]"
65,"[[39.37465438, 107.06718894], [90.33870968, 242.499447], [188.49170507, 219.37686636], [171.50368664, 86.3040553]]","[[36.07142857, 117.92064516], [117.23640553, 225.51142857], [194.15437788, 179.26626728], [145.54976959, 66.48470046]]"
66,"[[104.41870968, 42.56580645], [46.28193548, 109.78645161], [107.14387097, 241.50258065], [179.36064516, 171.55677419]]","[[111.97483871, 39.38645161], [59.74258065, 103.42774194], [114.7, 225.1516129], [180.55806452, 164.28967742]]"
67,"[[178.45225806, 49.37870968], [99.87677419, 61.64193548], [62.63290323, 191.54129032], [152.56322581, 187.45354839]]","[[111.97483871, 39.38645161], [59.74258065, 103.42774194], [114.7, 225.1516129], [180.55806452, 164.28967742]]"
68,"[[99.42258065, 38.93225806], [49.91548387, 114.3283871], [134.84967742, 232.41870968], [192.07806452, 152.48064516]]","[[111.97483871, 39.38645161], [59.74258065, 103.42774194], [114.7, 225.1516129], [180.55806452, 164.28967742]]"
69,"[[104.41870968, 5.77612903], [43.10258065, 78.44709677], [104.41870968, 219.70129032], [182.99419355, 147.48451613]]","[[111.97483871, 39.38645161], [59.74258065, 103.42774194], [114.7, 225.1516129], [180.55806452, 164.28967742]]"
70,"[[179.36064516, 49.37870968], [100.78516129, 62.09612903], [63.08709677, 191.99548387], [152.10903226, 186.99935484]]","[[103.79935484, 42.1116129], [45.66258065, 110.69483871], [110.15806452, 241.0483871], [179.64967742, 172.01096774]]"
71,"[[99.42258065, 39.38645161], [50.36967742, 114.3283871], [133.03290323, 231.51032258], [193.44064516, 153.38903226]]","[[103.79935484, 42.1116129], [45.66258065, 110.69483871], [110.15806452, 241.0483871], [179.64967742, 172.01096774]]"
72,"[[105.32709677, 5.32193548], [43.55677419, 75.72193548], [103.96451613, 219.24709677], [182.54, 148.39290323]]","[[103.79935484, 42.1116129], [45.66258065, 110.69483871], [110.15806452, 241.0483871], [179.64967742, 172.01096774]]"
73,"[[98.9683871, 39.84064516], [49.00709677, 114.78258065], [133.94129032, 231.05612903], [193.44064516, 152.93483871]]","[[177.37870968, 50.28709677], [100.16580645, 62.09612903], [62.46774194, 190.17870968], [151.94387097, 187.45354839]]"
74,"[[105.32709677, 6.23032258], [43.55677419, 77.53870968], [103.51032258, 219.70129032], [182.99419355, 147.48451613]]","[[177.37870968, 50.28709677], [100.16580645, 62.09612903], [62.46774194, 190.17870968], [151.94387097, 187.45354839]]"
75,"[[103.96451613, 43.02], [45.82774194, 110.24064516], [107.59806452, 241.95677419], [179.81483871, 172.01096774]]","[[108.79548387, 38.47806452], [45.66258065, 105.69870968], [115.15419355, 240.59419355], [187.37096774, 165.19806452]]"
76,"[[178.45225806, 50.28709677], [99.42258065, 61.18774194], [63.08709677, 192.44967742], [152.56322581, 186.54516129]]","[[108.79548387, 38.47806452], [45.66258065, 105.69870968], [115.15419355, 240.59419355], [187.37096774, 165.19806452]]"
77,"[[98.51419355, 38.02387097], [49.91548387, 113.87419355], [132.57870968, 231.96451613], [193.89483871, 153.38903226]]","[[108.79548387, 38.47806452], [45.66258065, 105.69870968], [115.15419355, 240.59419355], [187.37096774, 165.19806452]]"
78,"[[104.41870968, 4.41354839], [44.01096774, 77.99290323], [103.96451613, 218.79290323], [182.99419355, 148.39290323]]","[[108.79548387, 38.47806452], [45.66258065, 105.69870968], [115.15419355, 240.59419355], [187.37096774, 165.19806452]]"
79,"[[104.41870968, 4.41354839], [44.01096774, 77.99290323], [103.96451613, 218.79290323], [182.99419355, 148.39290323]]","[[99.7116129, 39.38645161], [48.84193548, 114.3283871], [133.77612903, 231.51032258], [192.82129032, 153.38903226]]"
80,"[[61.72451613, 51.19548387], [176.63548387, 109.78645161], [87.15935484, 179.73225806], [175.72709677, 174.28193548]]","[[205.53870968, 63.91290323], [137.86387097, 176.09870968], [78.81870968, 81.62645161], [78.36451613, 170.19419355]]"
81,"[[63.99548387, 53.92064516], [180.26903226, 101.61096774], [97.1516129, 176.09870968], [184.81096774, 165.19806452]]","[[205.53870968, 63.91290323], [137.86387097, 176.09870968], [78.81870968, 81.62645161], [78.36451613, 170.19419355]]"
82,"[[69.9, 51.64967742], [180.72322581, 102.06516129], [98.9683871, 173.37354839], [181.17741935, 163.83548387]]","[[205.53870968, 63.91290323], [137.86387097, 176.09870968], [78.81870968, 81.62645161], [78.36451613, 170.19419355]]"
83,"[[65.81225806, 48.92451613], [176.18129032, 108.87806452], [174.36451613, 167.92322581], [88.52193548, 173.37354839]]","[[205.53870968, 63.91290323], [138.31806452, 174.28193548], [79.27290323, 171.55677419], [78.36451613, 80.71806452]]"
84,"[[64.44967742, 54.37483871], [181.17741935, 102.51935484], [97.60580645, 177.91548387], [184.81096774, 164.74387097]]","[[62.01354839, 51.19548387], [176.47032258, 109.78645161], [86.08580645, 180.18645161], [176.01612903, 172.46516129]]"
85,"[[69.9, 52.10387097], [180.26903226, 103.88193548], [98.51419355, 174.73612903], [180.72322581, 164.74387097]]","[[62.01354839, 51.19548387], [176.47032258, 109.78645161], [86.08580645, 180.18645161], [176.01612903, 172.46516129]]"
86,"[[66.26645161, 49.83290323], [175.27290323, 107.51548387], [88.06774194, 172.91935484], [173.91032258, 168.37741935]]","[[62.01354839, 51.19548387], [176.47032258, 109.78645161], [86.08580645, 180.18645161], [176.01612903, 172.46516129]]"
87,"[[70.35419355, 51.19548387], [180.72322581, 102.51935484], [97.60580645, 172.91935484], [181.6316129, 164.74387097]]","[[64.28451613, 54.37483871], [181.46645161, 102.06516129], [96.53225806, 176.55290323], [184.1916129, 165.65225806]]"
88,"[[65.35806452, 49.37870968], [175.27290323, 107.96967742], [86.25096774, 173.37354839], [173.91032258, 167.92322581]]","[[64.28451613, 54.37483871], [181.46645161, 102.06516129], [96.53225806, 176.55290323], [184.1916129, 165.65225806]]"
89,"[[62.17870968, 52.10387097], [176.63548387, 109.78645161], [85.79677419, 180.18645161], [174.81870968, 172.91935484]]","[[60.65096774, 54.82903226], [181.46645161, 102.97354839], [97.89483871, 181.54903226], [187.82516129, 164.74387097]]"
90,"[[65.35806452, 54.37483871], [180.72322581, 102.06516129], [96.24322581, 177.91548387], [183.4483871, 165.65225806]]","[[60.65096774, 54.82903226], [181.46645161, 102.97354839], [97.89483871, 181.54903226], [187.82516129, 164.74387097]]"
91,"[[69.9, 51.64967742], [181.17741935, 102.51935484], [98.06, 174.28193548], [181.17741935, 166.10645161]]","[[60.65096774, 54.82903226], [181.46645161, 102.97354839], [97.89483871, 181.54903226], [187.82516129, 164.74387097]]"
92,"[[65.35806452, 49.37870968], [175.27290323, 107.51548387], [86.25096774, 172.91935484], [173.91032258, 168.37741935]]","[[60.65096774, 54.82903226], [181.46645161, 102.97354839], [97.89483871, 181.54903226], [187.82516129, 164.74387097]]"
93,"[[65.35806452, 49.37870968], [175.27290323, 107.51548387], [86.25096774, 172.91935484], [173.91032258, 168.37741935]]","[[69.73483871, 52.55806452], [180.55806452, 102.97354839], [96.98645161, 173.82774194], [180.55806452, 165.19806452]]"
94,"[[62.17870968, 51.64967742], [177.99806452, 109.33225806], [84.43419355, 180.64064516], [176.18129032, 172.91935484]]","[[67.00967742, 51.19548387], [178.74129032, 105.69870968], [94.26129032, 175.19032258], [181.01225806, 167.92322581]]"
95,"[[63.99548387, 53.92064516], [181.17741935, 101.61096774], [96.24322581, 177.00709677], [184.35677419, 168.37741935]]","[[67.00967742, 51.19548387], [178.74129032, 105.69870968], [94.26129032, 175.19032258], [181.01225806, 167.92322581]]"
96,"[[69.44580645, 51.19548387], [181.6316129, 102.06516129], [97.60580645, 173.82774194], [181.17741935, 166.56064516]]","[[67.00967742, 51.19548387], [178.74129032, 105.69870968], [94.26129032, 175.19032258], [181.01225806, 167.92322581]]"
97,"[[65.35806452, 50.28709677], [173.91032258, 107.51548387], [85.79677419, 172.46516129], [173.00193548, 170.19419355]]","[[67.00967742, 51.19548387], [178.74129032, 105.69870968], [94.26129032, 175.19032258], [181.01225806, 167.92322581]]"
98,"[[23.11806452, 60.27935484], [91.70129032, 226.06], [125.76580645, 42.1116129], [145.29612903, 211.98]]","[[70.18903226, 33.48193548], [59.74258065, 191.08709677], [159.66516129, 63.91290323], [106.07032258, 201.07935484]]"
99,"[[85.79677419, 39.84064516], [91.24709677, 209.70903226], [203.43290323, 110.69483871], [152.10903226, 51.19548387]]","[[97.89483871, 34.39032258], [60.19677419, 192.44967742], [192.82129032, 131.58774194], [158.30258065, 63.91290323]]"
100,"[[112.14, 31.66516129], [77.62129032, 203.35032258], [126.22, 207.43806452], [179.81483871, 108.42387097]]","[[96.98645161, 32.57354839], [59.74258065, 192.44967742], [107.43290323, 201.07935484], [164.20709677, 107.06129032]]"
101,"[[59.90774194, 45.74516129], [68.9916129, 191.54129032], [117.13612903, 193.35806452], [184.35677419, 117.96193548]]","[[71.5516129, 33.93612903], [60.65096774, 192.44967742], [106.52451613, 201.07935484], [192.82129032, 131.13354839]]"
102,"[[85.34258065, 39.84064516], [90.79290323, 208.34645161], [140.75419355, 203.35032258], [203.43290323, 109.33225806]]","[[48.84193548, 47.56193548], [91.53612903, 226.51419355], [144.22258065, 211.0716129], [191.91290323, 96.61483871]]"
103,"[[112.14, 32.57354839], [78.07548387, 202.89612903], [126.22, 207.89225806], [179.81483871, 109.33225806]]","[[49.75032258, 47.10774194], [91.08193548, 226.9683871], [144.67677419, 211.0716129], [153.30645161, 87.98516129]]"
104,"[[78.98387097, 41.65741935], [69.9, 191.54129032], [116.68193548, 193.35806452], [156.19677419, 99.34]]","[[49.75032258, 47.10774194], [91.08193548, 226.9683871], [144.67677419, 211.0716129], [153.30645161, 87.98516129]]"
105,"[[113.50258065, 33.48193548], [78.52967742, 202.89612903], [125.76580645, 206.98387097], [179.81483871, 108.87806452]]","[[84.26903226, 40.29483871], [91.08193548, 208.80064516], [139.68064516, 203.80451613], [168.74903226, 95.25225806]]"
106,"[[56.7283871, 80.26387097], [69.9, 191.99548387], [117.59032258, 194.26645161], [156.19677419, 99.34]]","[[62.46774194, 85.71419355], [92.89870968, 208.80064516], [140.13483871, 203.80451613], [168.74903226, 94.79806452]]"
107,"[[23.11806452, 59.82516129], [91.24709677, 227.42258065], [145.75032258, 210.16322581], [192.53225806, 95.70645161]]","[[66.10129032, 47.10774194], [97.89483871, 196.9916129], [145.13096774, 188.81612903], [201.45096774, 104.79032258]]"
108,"[[85.79677419, 40.74903226], [91.24709677, 208.80064516], [141.2083871, 203.80451613], [202.97870968, 108.87806452]]","[[90.62774194, 43.02], [97.89483871, 196.9916129], [145.13096774, 188.81612903], [201.45096774, 104.79032258]]"
109,"[[114.86516129, 34.39032258], [77.62129032, 202.44193548], [125.76580645, 206.98387097], [180.26903226, 109.33225806]]","[[90.17354839, 41.20322581], [98.34903226, 197.44580645], [144.67677419, 190.17870968], [168.29483871, 90.71032258]]"
110,"[[58.09096774, 46.19935484], [70.35419355, 191.08709677], [117.13612903, 194.72064516], [154.38, 98.88580645]]","[[65.64709677, 47.56193548], [98.34903226, 197.44580645], [144.67677419, 190.17870968], [168.29483871, 90.71032258]]"
111,"[[58.09096774, 46.19935484], [70.35419355, 191.08709677], [117.13612903, 194.72064516], [154.38, 98.88580645]]","[[85.17741935, 33.02774194], [78.36451613, 201.53354839], [126.05483871, 207.43806452], [180.55806452, 108.87806452]]"
112,"[[22.66387097, 60.27935484], [91.24709677, 225.1516129], [144.84193548, 210.61741935], [151.65483871, 87.07677419]]","[[35.21612903, 48.01612903], [61.10516129, 221.06387097], [120.60451613, 220.15548387], [158.30258065, 105.24451613]]"
113,"[[95.78903226, 21.21870968], [91.24709677, 209.25483871], [140.75419355, 201.53354839], [168.00580645, 93.88967742]]","[[80.18129032, 18.03935484], [61.10516129, 220.60967742], [119.69612903, 220.15548387], [158.30258065, 104.79032258]]"
114,"[[79.89225806, 72.54258065], [78.07548387, 203.35032258], [125.3116129, 207.43806452], [180.26903226, 108.42387097]]","[[39.75806452, 86.62258065], [61.10516129, 220.60967742], [119.69612903, 220.15548387], [158.30258065, 104.79032258]]"
